id, number, percentage, label
0, 7, 0.9523809523809523, EASY
1, 2, 0.8571428571428571, EASY
2, 1, 0.9523809523809523, EASY
3, 0, 0.9047619047619048, EASY
4, 4, 0.9047619047619048, EASY
5, 1, 0.9523809523809523, EASY
6, 4, 0.9047619047619048, EASY
7, 9, 0.6190476190476191, EASY
8, 5, 0.2857142857142857, HARD
9, 9, 0.8571428571428571, EASY
10, 0, 0.9047619047619048, EASY
11, 6, 0.9047619047619048, EASY
12, 9, 0.9047619047619048, EASY
13, 0, 0.9047619047619048, EASY
14, 1, 0.9523809523809523, EASY
15, 5, 0.9047619047619048, EASY
16, 9, 0.8571428571428571, EASY
17, 7, 0.9523809523809523, EASY
18, 3, 0.6666666666666666, EASY
19, 4, 0.9047619047619048, EASY
20, 9, 0.9047619047619048, EASY
21, 6, 0.9047619047619048, EASY
22, 6, 0.8095238095238095, EASY
23, 5, 0.9047619047619048, EASY
24, 4, 0.9047619047619048, EASY
25, 0, 0.9047619047619048, EASY
26, 7, 0.9523809523809523, EASY
27, 4, 0.9047619047619048, EASY
28, 0, 0.9047619047619048, EASY
29, 1, 0.9523809523809523, EASY
30, 3, 0.9047619047619048, EASY
31, 1, 0.9523809523809523, EASY
32, 3, 0.9047619047619048, EASY
33, 4, 0.5238095238095238, EASY
34, 7, 0.9047619047619048, EASY
35, 2, 0.9047619047619048, EASY
36, 7, 0.9523809523809523, EASY
37, 1, 0.9523809523809523, EASY
38, 2, 0.5238095238095238, EASY
39, 1, 0.9523809523809523, EASY
40, 1, 0.9523809523809523, EASY
41, 7, 0.9523809523809523, EASY
42, 4, 0.9047619047619048, EASY
43, 2, 0.9047619047619048, EASY
44, 3, 0.8571428571428571, EASY
45, 5, 0.8571428571428571, EASY
46, 1, 0.8571428571428571, EASY
47, 2, 0.9047619047619048, EASY
48, 4, 0.8571428571428571, EASY
49, 4, 0.9047619047619048, EASY
50, 6, 0.9047619047619048, EASY
51, 3, 0.9047619047619048, EASY
52, 5, 0.9047619047619048, EASY
53, 5, 0.9047619047619048, EASY
54, 6, 0.7619047619047619, EASY
55, 0, 0.9047619047619048, EASY
56, 4, 0.9047619047619048, EASY
57, 1, 0.9523809523809523, EASY
58, 9, 0.9047619047619048, EASY
59, 5, 0.8571428571428571, EASY
60, 7, 0.9523809523809523, EASY
61, 8, 0.5238095238095238, EASY
62, 9, 0.7142857142857143, EASY
63, 3, 0.47619047619047616, HARD
64, 7, 0.8571428571428571, EASY
65, 4, 0.8571428571428571, EASY
66, 6, 0.6190476190476191, EASY
67, 4, 0.9047619047619048, EASY
68, 3, 0.9047619047619048, EASY
69, 0, 0.9047619047619048, EASY
70, 7, 0.9523809523809523, EASY
71, 0, 0.9047619047619048, EASY
