id, number, percentage, label
0, 5, 0.9047619047619048, EASY
1, 0, 1.0, EASY
2, 4, 1.0, EASY
3, 1, 1.0, EASY
4, 9, 1.0, EASY
5, 2, 1.0, EASY
6, 1, 0.9523809523809523, EASY
7, 3, 1.0, EASY
8, 1, 1.0, EASY
9, 4, 0.9523809523809523, EASY
10, 3, 1.0, EASY
11, 5, 0.9523809523809523, EASY
12, 3, 0.9523809523809523, EASY
13, 6, 1.0, EASY
14, 1, 1.0, EASY
15, 7, 0.9523809523809523, EASY
16, 2, 1.0, EASY
17, 8, 1.0, EASY
18, 6, 0.9047619047619048, EASY
19, 9, 0.9047619047619048, EASY
20, 4, 0.9523809523809523, EASY
21, 0, 0.9523809523809523, EASY
22, 9, 0.9047619047619048, EASY
23, 1, 1.0, EASY
24, 1, 0.7142857142857143, EASY
25, 2, 0.9047619047619048, EASY
26, 4, 1.0, EASY
27, 3, 1.0, EASY
28, 2, 0.8095238095238095, EASY
29, 7, 0.8095238095238095, EASY
30, 3, 1.0, EASY
31, 8, 0.9523809523809523, EASY
32, 6, 0.9523809523809523, EASY
33, 9, 0.5714285714285714, EASY
34, 0, 1.0, EASY
35, 5, 1.0, EASY
36, 6, 0.9523809523809523, EASY
37, 0, 0.9523809523809523, EASY
38, 7, 1.0, EASY
39, 6, 0.9523809523809523, EASY
40, 1, 0.9523809523809523, EASY
41, 8, 1.0, EASY
42, 7, 1.0, EASY
43, 9, 0.9523809523809523, EASY
44, 3, 0.9523809523809523, EASY
45, 9, 0.9523809523809523, EASY
46, 8, 1.0, EASY
47, 5, 0.9523809523809523, EASY
48, 9, 0.3333333333333333, HARD
49, 3, 1.0, EASY
50, 3, 1.0, EASY
51, 0, 1.0, EASY
52, 7, 1.0, EASY
53, 4, 0.9523809523809523, EASY
54, 9, 0.9523809523809523, EASY
55, 8, 0.9047619047619048, EASY
56, 0, 1.0, EASY
57, 9, 1.0, EASY
58, 4, 1.0, EASY
59, 1, 1.0, EASY
60, 4, 0.9523809523809523, EASY
61, 4, 1.0, EASY
62, 6, 1.0, EASY
63, 0, 1.0, EASY
64, 4, 0.9047619047619048, EASY
65, 5, 1.0, EASY
66, 6, 0.9523809523809523, EASY
67, 1, 0.9523809523809523, EASY
68, 0, 0.9523809523809523, EASY
69, 0, 1.0, EASY
70, 1, 1.0, EASY
71, 7, 1.0, EASY
72, 1, 1.0, EASY
73, 6, 1.0, EASY
74, 3, 1.0, EASY
75, 0, 0.9523809523809523, EASY
76, 2, 1.0, EASY
77, 1, 1.0, EASY
78, 1, 0.9523809523809523, EASY
79, 7, 0.9047619047619048, EASY
80, 9, 0.38095238095238093, HARD
81, 0, 1.0, EASY
82, 2, 1.0, EASY
83, 6, 1.0, EASY
84, 7, 1.0, EASY
85, 8, 0.9523809523809523, EASY
86, 3, 1.0, EASY
87, 9, 1.0, EASY
88, 0, 1.0, EASY
89, 4, 1.0, EASY
90, 6, 1.0, EASY
91, 7, 0.9523809523809523, EASY
92, 4, 0.9523809523809523, EASY
93, 6, 1.0, EASY
94, 8, 1.0, EASY
95, 0, 1.0, EASY
96, 7, 1.0, EASY
97, 8, 1.0, EASY
98, 3, 0.9523809523809523, EASY
99, 1, 1.0, EASY
100, 5, 0.9523809523809523, EASY
101, 7, 1.0, EASY
102, 1, 1.0, EASY
103, 7, 0.9523809523809523, EASY
104, 1, 1.0, EASY
105, 1, 1.0, EASY
106, 6, 1.0, EASY
107, 3, 1.0, EASY
108, 0, 0.9523809523809523, EASY
109, 2, 0.9047619047619048, EASY
110, 9, 0.9523809523809523, EASY
111, 3, 0.9047619047619048, EASY
112, 1, 1.0, EASY
113, 1, 1.0, EASY
114, 0, 0.9523809523809523, EASY
115, 4, 0.9523809523809523, EASY
116, 9, 0.9523809523809523, EASY
117, 2, 0.8571428571428571, EASY
118, 0, 1.0, EASY
119, 0, 0.9523809523809523, EASY
120, 2, 0.8095238095238095, EASY
121, 0, 1.0, EASY
122, 2, 0.8571428571428571, EASY
123, 7, 1.0, EASY
124, 1, 1.0, EASY
125, 8, 1.0, EASY
126, 6, 1.0, EASY
127, 4, 1.0, EASY
128, 1, 0.9523809523809523, EASY
129, 6, 0.9523809523809523, EASY
130, 3, 1.0, EASY
131, 4, 1.0, EASY
132, 5, 0.23809523809523808, HARD
133, 9, 0.9523809523809523, EASY
134, 1, 0.5238095238095238, EASY
135, 3, 0.9523809523809523, EASY
136, 3, 1.0, EASY
137, 8, 0.9047619047619048, EASY
138, 5, 0.8095238095238095, EASY
139, 4, 1.0, EASY
140, 7, 0.9523809523809523, EASY
141, 7, 0.9523809523809523, EASY
142, 4, 1.0, EASY
143, 2, 0.9047619047619048, EASY
144, 8, 1.0, EASY
145, 5, 1.0, EASY
146, 8, 1.0, EASY
147, 6, 1.0, EASY
148, 7, 0.38095238095238093, HARD
149, 3, 1.0, EASY
150, 4, 0.9523809523809523, EASY
151, 6, 1.0, EASY
152, 1, 1.0, EASY
153, 9, 1.0, EASY
154, 9, 0.9523809523809523, EASY
155, 6, 1.0, EASY
156, 0, 1.0, EASY
157, 3, 0.9523809523809523, EASY
158, 7, 0.9523809523809523, EASY
159, 2, 0.9523809523809523, EASY
160, 8, 0.8571428571428571, EASY
161, 2, 0.9523809523809523, EASY
162, 9, 1.0, EASY
163, 4, 1.0, EASY
164, 4, 1.0, EASY
165, 6, 1.0, EASY
166, 4, 1.0, EASY
167, 9, 1.0, EASY
168, 7, 0.9523809523809523, EASY
169, 0, 0.9523809523809523, EASY
170, 9, 1.0, EASY
171, 2, 0.9523809523809523, EASY
172, 9, 0.5714285714285714, EASY
173, 5, 0.9047619047619048, EASY
174, 1, 1.0, EASY
175, 5, 0.9523809523809523, EASY
176, 9, 0.9523809523809523, EASY
177, 1, 1.0, EASY
178, 2, 0.8571428571428571, EASY
179, 3, 1.0, EASY
180, 2, 0.5714285714285714, EASY
181, 3, 0.9047619047619048, EASY
182, 5, 0.8571428571428571, EASY
183, 9, 1.0, EASY
184, 1, 1.0, EASY
185, 7, 1.0, EASY
186, 6, 1.0, EASY
187, 2, 0.8095238095238095, EASY
188, 8, 0.9523809523809523, EASY
189, 2, 1.0, EASY
190, 2, 1.0, EASY
191, 5, 1.0, EASY
192, 0, 1.0, EASY
193, 7, 1.0, EASY
194, 4, 1.0, EASY
195, 9, 0.9047619047619048, EASY
196, 7, 1.0, EASY
197, 8, 1.0, EASY
198, 3, 1.0, EASY
199, 2, 1.0, EASY
200, 1, 0.9523809523809523, EASY
201, 1, 1.0, EASY
202, 8, 0.6666666666666666, EASY
203, 3, 1.0, EASY
204, 6, 0.9523809523809523, EASY
205, 1, 1.0, EASY
206, 0, 1.0, EASY
207, 3, 0.6190476190476191, EASY
208, 1, 1.0, EASY
209, 0, 1.0, EASY
210, 0, 1.0, EASY
211, 1, 1.0, EASY
212, 7, 0.5714285714285714, EASY
213, 2, 1.0, EASY
214, 7, 1.0, EASY
215, 3, 1.0, EASY
216, 0, 1.0, EASY
217, 4, 1.0, EASY
218, 6, 1.0, EASY
219, 5, 1.0, EASY
220, 2, 1.0, EASY
221, 6, 1.0, EASY
222, 4, 1.0, EASY
223, 7, 1.0, EASY
224, 1, 0.7142857142857143, EASY
225, 8, 0.9523809523809523, EASY
226, 9, 1.0, EASY
227, 9, 1.0, EASY
228, 3, 0.42857142857142855, HARD
229, 0, 1.0, EASY
230, 7, 1.0, EASY
231, 1, 1.0, EASY
232, 0, 0.7619047619047619, EASY
233, 2, 1.0, EASY
234, 0, 1.0, EASY
235, 3, 1.0, EASY
236, 5, 1.0, EASY
237, 4, 1.0, EASY
238, 6, 0.9523809523809523, EASY
239, 5, 0.9047619047619048, EASY
240, 8, 0.6666666666666666, EASY
241, 6, 1.0, EASY
242, 3, 1.0, EASY
243, 7, 1.0, EASY
244, 5, 0.47619047619047616, HARD
245, 8, 1.0, EASY
246, 0, 0.9047619047619048, EASY
247, 9, 1.0, EASY
248, 1, 1.0, EASY
249, 0, 1.0, EASY
250, 3, 0.9523809523809523, EASY
251, 1, 1.0, EASY
252, 2, 1.0, EASY
253, 2, 1.0, EASY
